Lags,ALL,,,,,,,WARM,,,,,,,COLD,,,,,,
Day,AirPoll,Beta,SE,Pvalue,RR,Low95%RR,Uper95%RR,AirPoll,Beta,SE,Pvalue,RR,Low95%RR,Uper95%RR,AirPoll,Beta,SE,Pvalue,RR,LowRR,UperRR
13,NO2,0.000907142,0.000557286,0.103666233,1.008014799,0.998372109,1.017750623,NO2,0.000871779,0.000652095,0.181351442,1.007701158,0.996430701,1.019099093,NO2,0.001081162,0.000500508,0.030834716,1.00955963,1.000881854,1.018312643
14,NO2,0.000163651,0.000554328,0.767841384,1.001441166,0.991911963,1.011061915,NO2,-0.000481548,0.000640701,0.452348099,0.995771343,0.984827841,1.00683645,NO2,0.000551738,0.000500827,0.270692685,1.004867102,0.99622418,1.013585007
0,O3,-0.000682997,0.00054767,0.212451033,0.991295743,0.977768536,1.005010096,O3,-0.000659942,0.000499396,0.186433238,0.991588319,0.979242353,1.004089939,O3,-0.000821472,0.000622358,0.186948199,0.98954025,0.974209854,1.005111889
1,O3,0.000501647,0.000550282,0.362036017,1.006441741,0.992642817,1.020432487,O3,-4.14E-05,0.000503437,0.9343877,0.999469594,0.986925458,1.012173171,O3,0.001365977,0.000622126,0.028185825,1.017638252,1.001878363,1.033646049
2,O3,-0.00053201,0.000550091,0.333549468,0.993213402,0.979600523,1.00701545,O3,-0.000953869,0.000506311,0.05965886,0.987864717,0.975395882,1.000492945,O3,0.000247364,0.000616161,0.688107272,1.00317128,0.98778325,1.018799029
3,O3,0.000672342,0.000553199,0.224312057,1.00864311,0.99474119,1.022739316,O3,-0.000248638,0.000512206,0.627406347,0.996822489,0.984095044,1.009714539,O3,0.002134148,0.000616415,0.000542615,1.027693623,1.011922982,1.043710046
4,O3,0.000148181,0.000554407,0.789272148,1.00189851,0.988059614,1.015931236,O3,-0.000828042,0.00051526,0.108142082,0.989457031,0.976748786,1.002330619,O3,0.001482706,0.00061509,0.015982848,1.019159876,1.003553563,1.035008883
5,O3,-5.99E-05,0.000553452,0.9138058,0.999233447,0.985454968,1.013204575,O3,-0.000129693,0.000514756,0.801096018,0.998341313,0.985531418,1.011317711,O3,0.000156474,0.000616425,0.79963397,1.002004877,0.986628207,1.017621193
6,O3,0.000644377,0.000552831,0.243862994,1.008282134,0.994394364,1.022363861,O3,0.000766216,0.000511883,0.134526488,1.009855811,0.996970034,1.022908137,O3,0.000450142,0.000619771,0.467703979,1.005778448,0.990260751,1.021539311
7,O3,0.000980485,0.000552208,0.07589574,1.012629295,0.998697271,1.026755674,O3,0.001184559,0.000509396,0.020110045,1.015277887,1.002385469,1.028336124,O3,0.000730018,0.000620126,0.239196683,1.009388027,0.993805788,1.025214585
8,O3,0.000842016,0.000551333,0.126798434,1.010836095,0.996950616,1.024914969,O3,0.001616939,0.000507281,0.001448733,1.020912477,1.008001991,1.033988321,O3,-0.000425882,0.000620386,0.492460072,0.994563547,0.979203749,1.010164278
9,O3,0.00157876,0.000552541,0.00429985,1.020413697,1.006366153,1.034657327,O3,0.002065543,0.000512509,5.70E-05,1.026791558,1.013673769,1.040079101,O3,0.001071626,0.000617876,0.08294602,1.013811325,0.998217131,1.029649132
10,O3,0.000251413,0.000557414,0.651994402,1.003223269,0.989291437,1.017351297,O3,0.000710906,0.000517529,0.169642532,1.009141128,0.996123364,1.022329013,O3,-0.000414512,0.000623008,0.505880201,0.994708298,0.979281845,1.010377762
11,O3,0.000592142,0.000554415,0.285576948,1.007608213,0.993690251,1.021721114,O3,0.000867507,0.000509825,0.088929286,1.011165964,0.998315014,1.024182339,O3,0.000290953,0.000626327,0.642292068,1.003731147,0.988082504,1.019627623
12,O3,0.000663462,0.000553366,0.230631327,1.00852847,0.994623968,1.022627353,O3,0.000897783,0.000506777,0.076560885,1.011557907,0.998778363,1.024500968,O3,0.000327053,0.000626173,0.601493656,1.004195053,0.98854298,1.020094953
13,O3,0.000496177,0.000553183,0.369811743,1.006371274,0.992501071,1.020435312,O3,0.000760407,0.000509204,0.135447971,1.009780727,0.99696293,1.022763322,O3,0.000231393,0.000623698,0.710660721,1.002966215,0.987394618,1.018783381
14,O3,-0.000215189,0.000555513,0.698507198,0.997249367,0.983447387,1.011245048,O3,-0.000440477,0.00051311,0.390709365,0.994377763,0.981659273,1.007261034,O3,0.000412437,0.000622803,0.507871827,1.005293158,0.989707647,1.021124104
0,O3H8,0.000167659,0.000357718,0.639321928,1.003190602,0.989915289,1.016643945,O3H8,-1.45E-06,0.000285058,0.9959539,0.999972533,0.989413428,1.010644326,O3H8,0.00068881,0.000557355,0.216599913,1.013173409,0.99236084,1.034422475
1,O3H8,0.00032609,0.000358168,0.362657114,1.006214943,0.992882999,1.019725902,O3H8,0.000165832,0.000285504,0.561388203,1.003155773,0.992546566,1.013878381,O3H8,0.000919568,0.000558877,0.099985683,1.017625319,0.996664789,1.039026662
2,O3H8,9.99E-05,0.000359431,0.7810571,1.001900073,0.98857879,1.015400863,O3H8,-3.18E-06,0.000286524,0.9911434,0.999939568,0.989326794,1.010666187,O3H8,0.000593076,0.000559829,0.289500776,1.011332178,0.990466148,1.032637789
3,O3H8,0.000302848,0.000359658,0.399823605,1.005770703,0.992389566,1.019332267,O3H8,8.89E-05,0.00028769,0.7574089,1.001689969,0.991015556,1.012479359,O3H8,0.001154316,0.000553365,0.037056019,1.022174284,1.00132556,1.043457102
4,O3H8,-0.00015343,0.000358603,0.668784807,0.997089075,0.983862088,1.010493884,O3H8,-0.000589807,0.000287043,0.039980123,0.98885623,0.978342165,0.999483288,O3H8,0.001466531,0.000549464,0.007644613,1.028255918,1.007429499,1.049512877
5,O3H8,0.000270372,0.000357003,0.448901313,1.00515028,0.991875473,1.01860275,O3H8,1.63E-05,0.000286605,0.9547738,1.000308901,0.989689208,1.011042548,O3H8,0.001250865,0.000544374,0.021635246,1.024051109,1.003500071,1.04502302
6,O3H8,0.000356942,0.000356445,0.316709829,1.006804951,0.993528911,1.020258392,O3H8,0.000356447,0.000285673,0.212213411,1.00679548,0.996141488,1.017563419,O3H8,0.000383869,0.000546232,0.482255758,1.007320177,0.987036601,1.028020581
7,O3H8,0.000487651,0.000356951,0.171983333,1.009308433,0.995980606,1.022814608,O3H8,0.000330955,0.000286935,0.248823,1.006307965,0.995612358,1.017118471,O3H8,0.001095807,0.000539328,0.042253902,1.021038584,1.00073604,1.041753019
8,O3H8,0.000282337,0.000355523,0.427167462,1.005378817,0.99215567,1.018778198,O3H8,0.000585253,0.000286907,0.041442839,1.01118187,1.000435493,1.022043681,O3H8,-0.000840722,0.00053027,0.112957578,0.98415318,0.964909497,1.003780649
9,O3H8,0.000457556,0.000356949,0.199984252,1.008731469,0.995411353,1.022229828,O3H8,0.000893551,0.000288729,0.001986158,1.017122411,1.006244635,1.028117779,O3H8,-0.000908422,0.000527064,0.084882741,0.982888081,0.963784189,1.002370645
10,O3H8,0.000232548,0.000360516,0.518944208,1.004428188,0.991033258,1.018004165,O3H8,0.000524139,0.000292928,0.073656602,1.010008395,0.999050463,1.021086518,O3H8,-0.000776143,0.000525038,0.139433979,0.98536148,0.966282401,1.004817271
11,O3H8,0.0002135,0.000359251,0.5523579,1.004064733,0.990721313,1.017587867,O3H8,0.00054047,0.000292052,0.06431778,1.010321833,0.999393087,1.021370089,O3H8,-0.000910586,0.000520476,0.080293565,0.982847673,0.963981034,1.002083562
12,O3H8,0.000962368,0.000358121,0.007240211,1.018453176,1.004960813,1.032126685,O3H8,0.000892154,0.000291239,0.002206831,1.017095414,1.006123851,1.028186619,O3H8,0.001079261,0.00051728,0.037018066,1.020717649,1.001243211,1.040570869
13,O3H8,0.000803788,0.000359497,0.025427058,1.01538919,1.001886101,1.02907427,O3H8,0.000622263,0.00029378,0.034239146,1.011893169,1.000883031,1.023024423,O3H8,0.001529747,0.000512926,0.002881068,1.029491714,1.010013635,1.049345427
14,O3H8,-0.000105614,0.000361888,0.770426125,0.997995348,0.984635893,1.011536063,O3H8,-0.000124393,0.000296383,0.674730484,0.997639333,0.986688634,1.008711568,O3H8,0.000143878,0.000511057,0.778322041,1.002737412,0.983834016,1.022004019
